Handle,Title,Product Category,Type,Tags,Published,Image Src,Status
ciao-chain-bracelet-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Ciao-Chain-Bracelet---JW-BR-BU-100080-VGOLD---Noma_1.jpg?v=1721415212,
beaded-statement-necklace-multi-vintage-gold,Beaded Statement Necklace,Uncategorized,JEWELRY - NECKLACES - NECKLACE,"Category:Accessories, ClareVJewelryCollection, cp-fall24, FALL-24, le-cute-show, material::care_guides_CVjewelry, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Beaded-Statement-Necklace---JW-NC-NL-100113-VGMLT---front_8dd2d119-a0aa-4e9f-920a-bd982322850e.jpg?v=1721326228,active
beaded-statement-necklace-multi-vintage-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Beaded-Statement-Necklace---JW-NC-NL-100113-VGMLT---Noma_1_9d834f7f-4bee-414b-8477-f50a19cc06dd.jpg?v=1721323912,
croissant-huggie-earrings-14k-gold,"8/22 D2 ALT RCVD Croissant Huggie Earrings -, 14K GOLD",Uncategorized,JEWELRY - EARRINGS - EARRINGS,"ALLOCATED, Category:Accessories, ClareVJewelryCollection, cp-fall24, CVFineJewelry-NoDiscounts, FALL-24, material::care_guides_cvfinejewelry",False,,active
puff-heart-guggie-earrings-gold,"8/22 D2 ALT RCVD Puff Heart Huggie Earrings -, GOLD",Uncategorized,JEWELRY - EARRINGS - EARRINGS,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, FALL-24, material::care_guides_cvearrings",False,,active
le-carre-tee-grey-melange-w-bright-poppy-oui,Le Carr̩ Tee,Uncategorized,APPAREL - TEES - LE CARRE TEE,"catalogFALL24, FALL-24, international-oui, le-cute-show, material::care_guides_classictee, MGM --embroidery_placement:bottom-right(3) --fonts:script, new-arrivals, Personalization:Embroidery",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Carre-Tee-Oui---AP-TT-RT-100006-GRYML---Maly_1.jpg?v=1721082797,active
le-carre-tee-grey-melange-w-bright-poppy-oui,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Carre-Tee-Oui---AP-TT-RT-100006-GRYML---Maly_2.jpg?v=1721082797,
le-carre-tee-grey-melange-w-bright-poppy-oui,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Carre-Tee-Oui---AP-TT-RT-100006-GRYML---Sonnie_1.jpg?v=1721083069,
le-carre-tee-grey-melange-w-bright-poppy-oui,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/GREY-MELANGE-W-BRIGHT-POPPY-OUI_swatch.jpg?v=1721083202,
le-carre-tee-grey-melange-w-bright-poppy-oui,,,,,,,
le-carre-tee-grey-melange-w-bright-poppy-oui,,,,,,,
le-carre-tee-navy-w-cream-block-ciao,Le Carr̩ Tee,Uncategorized,APPAREL - TEES - LE CARRE TEE,"ALLOCATED, catalogFALL24, FALL-24, material::care_guides_classictee, MGM --embroidery_placement:bottom-right(3) --fonts:script, Personalization:Embroidery",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Carre-Tee-Ciao---AP-TT-RT-100009-NVY---Sonnie_1.jpg?v=1723151296,active
le-carre-tee-navy-w-cream-block-ciao,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Carre-Tee-Ciao---AP-TT-RT-100009-NVY---Sonnie_2.jpg?v=1723151296,
le-carre-tee-navy-w-cream-block-ciao,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/le-carre-tee-navy-ciao_swatch.jpg?v=1723151508,
le-carre-tee-navy-w-cream-block-ciao,,,,,,,
le-carre-tee-navy-w-cream-block-ciao,,,,,,,
le-carre-tee-navy-w-cream-block-ciao,,,,,,,
croissant-ring-14k-gold,Croissant Ring,Uncategorized,JEWELRY - RINGS - RINGS,"ALLOCATED, catalogFALL24, Category:Accessories, ClareVJewelryCollection, cp-fall24, CVFineJewelry-NoDiscounts, FALL-24, material::care_guides_cvfinejewelry",False,https://cdn.shopify.com/s/files/1/1240/1014/files/Croissant-Ring---JW-RN-RI-100028-FKGLD---front.jpg?v=1723582278,active
croissant-ring-14k-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Croissant-Ring---JW-RN-RI-100028-FKGLD---Noma_1.jpg?v=1723582017,
croissant-ring-14k-gold,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Croissant-Ring---JW-RN-RI-100028-FKGLD---Noma_2.jpg?v=1723582016,
le-link-bracelet-clear-vintage-gold,"D3 ALT Le Link Bracelet -, CLEAR / VINTAGE GOLD",Uncategorized,JEWELRY - BRACELETS - BRACELET,"Category:Accessories, ClareVJewelryCollection, FALL-24, material::care_guides_CVjewelry",False,,active
grande-bateau-tote-twilight-crinkle-patent,"D3 ALT Grande Bateau Tote -, TWILIGHT CRINKLE PATENT",Uncategorized,HANDBAGS - TOTE - GRANDE BATEAU TOTE,"2-year-warranty, cp-fall24, FALL-24, material::care_guides_patentleather, MGM --gold_foil_placement:top-center(6) --initials:petit;short;tall --price:50 --handpainting_placement:top-center(5-3), Personalization:Gold Foil Monogram, Personalization:Hand Painting",False,,active
le-bateau-tee-black-poppy-stripe,Le Bateau Tee,Uncategorized,APPAREL - TEES - LE BATEAU TEE,"catalogFALL24, cp-fall24, FALL-24, le-cute-show, material::care_guides_cottonelastan, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Bateau-Tee-Stripe---AP-TT-TQ-100013-BPOPP---Maly_2.jpg?v=1721088474,active
le-bateau-tee-black-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Bateau-Tee-Stripe---AP-TT-TQ-100013-BPOPP---Maly_3.jpg?v=1721088474,
le-bateau-tee-black-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Bateau-Tee-Stripe---AP-TT-TQ-100013-BPOPP---Maly_1.jpg?v=1721088474,
le-bateau-tee-black-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Tube-Skirt-Stripe---AP-SK-SQ-100027-BPOPP---Sonnie_1.jpg?v=1721089791,
le-bateau-tee-black-poppy-stripe,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/bateau-tee-stripe-poppy-black_swatch.jpg?v=1721088511,
le-bateau-tee-black-poppy-stripe,,,,,,,
le-turtleneck-purple-fall-floral,Le Turtleneck,Uncategorized,APPAREL - TOPS - LE TURTLENECK,"FALL-24, le-cute-show, material::care_guides_cottontee, new-arrivals",True,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Turtleneck-Fall-Floral---AP-TT-TL-100018-PURP---Sonnie_1.jpg?v=1721761276,active
le-turtleneck-purple-fall-floral,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Turtleneck-Fall-Floral---AP-TT-TL-100018-PURP---Sonnie_2.jpg?v=1721761276,
le-turtleneck-purple-fall-floral,,,,,,https://cdn.shopify.com/s/files/1/1240/1014/files/Le-Turtleneck-Fall-Floral---AP-TT-TL-100018-PURP---Sonnie_3.jpg?v=1721761276,
le-turtleneck-purple-fall-floral,,,,,,,
le-turtleneck-purple-fall-floral,,,,,,,
le-turtleneck-purple-fall-floral,,,,,,,
petit-moyen-twilight-crinkle-patent,"D3 ALT Petit Moyen -, TWILIGHT CRINKLE PATENT",Uncategorized,HANDBAGS - TOP HANDLE - PETIT MOYEN,"2-year-warranty, add-on::all-straps, cp-fall24, FALL-24, material::care_guides_patentleather",False,,active
